Iteration,Normal_Subs,Attackers,Total_Requests,Cache_Hit,Latency,PIT_Size,Attack_Interests,Cache_Evictions,Dropped_Packets,NACK_Sent,Baseline_Latency,Scenario
58,10,4,3096,1.6795865633074936,2.835277817634268,897,340,266,136,174,0.9425658074366535,IFA_Attack
59,10,4,3130,1.693290734824281,2.736706668385989,901,344,269,137,177,2.4800723831995573,IFA_Attack
60,10,4,3164,1.675094816687737,1.0638292474983289,901,345,274,137,178,1.7441971222037351,IFA_Attack
61,10,4,3199,1.6567677399187246,2.2644961203330394,904,349,278,139,180,2.025363246319046,IFA_Attack
62,10,4,3251,1.6917871424177178,2.298406435015615,905,353,282,141,181,1.454240760153767,IFA_Attack
63,10,4,3300,1.7272727272727273,1.9635135023989854,905,355,287,142,181,2.2259396212279765,IFA_Attack
64,10,4,3365,1.723625557206538,2.250628879469202,905,364,293,145,185,2.324839187579047,IFA_Attack
65,10,4,3381,1.715468796214138,1.9524309048069792,905,364,295,145,185,2.125437281208729,IFA_Attack
66,10,4,3439,1.7446932247746436,1.8033103746216341,906,369,299,147,188,2.6283904628420065,IFA_Attack
67,10,4,3485,1.7790530846484938,2.8968635205361872,908,373,302,148,190,1.3220485049594308,IFA_Attack
68,10,4,3569,1.7932193891846457,1.560851362327563,911,379,311,149,192,2.5679297099338894,IFA_Attack
69,10,4,3592,1.8095768374164811,2.533640265605754,912,381,313,150,193,1.6867348328579574,IFA_Attack
70,10,4,3662,1.774986346258875,1.691643511006272,914,385,321,152,195,1.661792849661703,IFA_Attack
71,10,4,3712,1.7780172413793105,2.728354429437658,914,389,326,153,196,1.3162166597644194,IFA_Attack
72,10,4,3742,1.8172100481026188,1.0742653308075756,915,391,328,154,196,2.242179865983041,IFA_Attack
73,10,4,3790,1.820580474934037,1.954525484213906,915,395,333,155,199,2.687235179874595,IFA_Attack
74,10,4,3813,1.8095987411487018,2.350510376765879,915,395,337,155,199,2.230867097612468,IFA_Attack
75,10,4,3856,1.815352697095436,1.634869155989998,917,399,340,156,202,1.539555318437952,IFA_Attack
76,10,4,3905,1.792573623559539,2.9916666563527343,917,401,345,157,203,2.6061439465615326,IFA_Attack
77,10,4,3957,1.8448319433914582,2.184877699952233,917,405,348,160,204,1.508943015482343,Normal
78,10,4,4037,1.857815209313847,2.7951042999106877,920,413,355,163,208,1.5717901913372685,Normal
79,10,4,4078,1.8391368317802845,1.1276193065114504,920,417,360,163,212,2.0239652741238388,Normal
80,10,4,4105,1.8270401948842874,2.649924879850703,925,420,363,165,212,2.7472981802609455,Normal
81,10,4,4159,1.8754508295263286,1.953647536119305,925,424,367,165,214,2.7057504261337564,Normal
82,10,4,4181,1.8655823965558478,1.1894659918218076,926,425,369,165,215,2.3797704999353173,Normal
83,10,4,4258,1.85533114138093,1.6260107536940636,927,432,378,167,219,1.9113104709121813,Normal
84,10,4,4291,1.8410626893498019,2.385693330678392,927,434,382,169,219,1.4476761303986416,Normal
85,10,4,4336,1.8219557195571956,1.4953050950525562,929,439,389,171,220,2.1031702630034896,Normal
86,10,4,4358,1.812758145938504,2.3824336304759646,930,441,391,172,221,1.3583245200096554,Normal
87,10,4,4412,1.8359020852221213,1.818327240499049,931,446,396,175,222,1.2539152914989662,Normal
88,10,4,4476,1.8543342269883825,1.56315183832323,935,451,402,176,225,0.9724359259743723,Normal
89,10,4,4511,1.839946796719131,1.4420787940554125,935,454,407,178,226,2.1855003044160126,Normal
90,10,4,4593,1.8288700195950358,2.692866101135104,935,460,415,183,226,1.6080259524535023,Normal
91,10,4,4641,1.809954751131222,2.235466753332961,937,465,421,184,229,2.120128338090776,Normal
92,10,4,4671,1.7983301220295438,1.532620100543204,937,468,425,185,231,2.638368876380615,Normal
93,10,4,4702,1.7864738409187582,2.808017172597941,939,470,428,186,232,1.4894729777519766,Normal
94,10,4,4721,1.821647955941538,2.2767674913260803,939,472,430,186,233,1.8529788550892061,Normal
95,10,4,4753,1.8093835472333262,2.6598610084884884,941,474,433,186,235,1.2093118537313263,Normal
96,10,4,4789,1.795782000417624,1.4820641327505053,941,478,438,186,238,2.4628215967759286,Normal
97,10,4,4846,1.7746595130004126,1.7485361428048496,942,484,444,189,241,2.038746510149053,Normal
98,10,4,4869,1.7662764428013966,3.090472398592168,942,484,447,189,241,1.6619273310285616,Normal
99,10,4,4930,1.7444219066937119,2.3322611871935015,943,489,454,192,242,2.423454353275583,Normal
100,10,4,5008,1.7571884984025559,2.560862933484947,944,495,462,196,243,2.2957764519854393,Normal
