Policy,Iteration,Cache Hit Ratio,Latency,Hop Reduction
LRU,1,0.0,0.007863683605463457,0.0
LRU,2,0.0,0.005208824006069212,0.0
LRU,3,0.0,0.004320688500558497,0.0
LRU,4,0.0,0.0013015637511894216,0.0
LRU,5,0.0,0.0018837394683424852,0.0
LRU,6,0.0,0.002007358671783602,0.0
LRU,7,0.0,0.0008503368028925805,0.0
LRU,8,0.0,0.00029302562852396354,0.0
LRU,9,0.0,0.00031313490191590206,0.0
LRU,10,0.0,0.0010471109102625485,0.0
LRU,11,0.0,0.0004831639256985566,0.0
LRU,12,0.0,0.0006329536189220952,0.0
LRU,13,0.0,0.00014164095104145162,0.0
LRU,14,0.0,0.0008733909689040818,0.0
LRU,15,0.0,0.0007152042731040316,0.0
LRU,16,0.0,0.0007941896685959641,0.0
LRU,17,0.0,0.0007930033439081985,0.0
LRU,18,0.0,9.757819064747028e-05,0.0
LRU,19,0.0,0.0005303211276191411,0.0
LRU,20,0.0,0.0001871370229677969,0.0
LRU,21,0.6493506493506493,0.0005126565474860999,0.006493506493506494
LRU,22,0.628930817610063,0.00011694935613711381,0.006289308176100629
LRU,23,0.6134969325153374,0.0002715990985911897,0.006134969325153374
LRU,24,0.6024096385542169,9.618602912784215e-05,0.006024096385542169
LRU,25,1.1494252873563218,0.0003593029472185551,0.011494252873563218
LRU,26,1.6483516483516485,0.0005477679971642337,0.016483516483516484
LRU,27,1.5706806282722512,0.0003837756311352026,0.015706806282722512
LRU,28,1.5384615384615385,0.0004007691081331402,0.015384615384615385
LRU,29,1.5,0.00031076853177458065,0.015
LRU,30,1.4563106796116505,0.0004362815907981401,0.014563106796116505
LRU,31,1.3888888888888888,9.589192463942906e-05,0.013888888888888888
LRU,32,1.36986301369863,5.466637577604732e-05,0.0136986301369863
LRU,33,1.7777777777777777,0.00034998662935756383,0.017777777777777778
LRU,34,1.7241379310344827,0.00030480843840603375,0.017241379310344827
LRU,35,2.066115702479339,7.787506542045346e-05,0.02066115702479339
LRU,36,2.0242914979757085,0.0002162550278060401,0.020242914979757085
LRU,37,1.9607843137254901,0.0001436225248798356,0.0196078431372549
LRU,38,1.8867924528301887,5.8067266727773106e-05,0.018867924528301886
LRU,39,1.8315018315018317,0.0002391224525187493,0.018315018315018316
LRU,40,1.7793594306049825,0.0001866905379779131,0.017793594306049824
LRU,41,1.7605633802816902,0.00023230496605979958,0.017605633802816902
LRU,42,1.7123287671232876,0.00021592047069723757,0.017123287671232876
LRU,43,1.6722408026755853,0.00011225112472622045,0.016722408026755852
LRU,44,1.644736842105263,0.000167345885833006,0.01644736842105263
LRU,45,1.607717041800643,0.00028151986064473694,0.01607717041800643
