Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency
2024-10-21 09:06:38,6,9,0.0,0.0,0.007863683605463457
2024-10-21 09:06:38,7,17,0.0,0.0,0.005208824006069212
2024-10-21 09:06:38,6,21,0.0,0.0,0.004320688500558497
2024-10-21 09:06:38,8,30,0.0,0.0,0.0013015637511894216
2024-10-21 09:06:38,8,40,0.0,0.0,0.0018837394683424852
2024-10-21 09:06:38,7,46,0.0,0.0,0.002007358671783602
2024-10-21 09:06:38,8,55,0.0,0.0,0.0008503368028925805
2024-10-21 09:06:38,7,58,0.0,0.0,0.00029302562852396354
2024-10-21 09:06:38,6,64,0.0,0.0,0.00031313490191590206
2024-10-21 09:06:38,8,74,0.0,0.0,0.0010471109102625485
2024-10-21 09:06:38,8,81,0.0,0.0,0.0004831639256985566
2024-10-21 09:06:38,7,89,0.0,0.0,0.0006329536189220952
2024-10-21 09:06:38,8,98,0.0,0.0,0.00014164095104145162
2024-10-21 09:06:38,6,104,0.0,0.0,0.0008733909689040818
2024-10-21 09:06:38,6,108,0.0,0.0,0.0007152042731040316
2024-10-21 09:06:38,7,114,0.0,0.0,0.0007941896685959641
2024-10-21 09:06:38,6,121,0.0,0.0,0.0007930033439081985
2024-10-21 09:06:38,8,127,0.0,0.0,9.757819064747028e-05
2024-10-21 09:06:38,8,137,0.0,0.0,0.0005303211276191411
2024-10-21 09:06:38,8,145,0.0,0.0,0.0001871370229677969
2024-10-21 09:06:38,7,154,0.006493506493506494,0.6493506493506493,0.0005126565474860999
2024-10-21 09:06:38,8,159,0.006289308176100629,0.628930817610063,0.00011694935613711381
2024-10-21 09:06:38,7,163,0.006134969325153374,0.6134969325153374,0.0002715990985911897
2024-10-21 09:06:38,8,166,0.006024096385542169,0.6024096385542169,9.618602912784215e-05
2024-10-21 09:06:38,7,174,0.011494252873563218,1.1494252873563218,0.0003593029472185551
2024-10-21 09:06:38,7,182,0.016483516483516484,1.6483516483516485,0.0005477679971642337
2024-10-21 09:06:38,7,191,0.015706806282722512,1.5706806282722512,0.0003837756311352026
2024-10-21 09:06:38,6,195,0.015384615384615385,1.5384615384615385,0.0004007691081331402
2024-10-21 09:06:38,8,200,0.015,1.5,0.00031076853177458065
2024-10-21 09:06:38,8,206,0.014563106796116505,1.4563106796116505,0.0004362815907981401
2024-10-21 09:06:38,7,216,0.013888888888888888,1.3888888888888888,9.589192463942906e-05
2024-10-21 09:06:38,7,219,0.0136986301369863,1.36986301369863,5.466637577604732e-05
2024-10-21 09:06:38,7,225,0.017777777777777778,1.7777777777777777,0.00034998662935756383
2024-10-21 09:06:38,7,232,0.017241379310344827,1.7241379310344827,0.00030480843840603375
2024-10-21 09:06:38,7,242,0.02066115702479339,2.066115702479339,7.787506542045346e-05
2024-10-21 09:06:38,6,247,0.020242914979757085,2.0242914979757085,0.0002162550278060401
2024-10-21 09:06:38,8,255,0.0196078431372549,1.9607843137254901,0.0001436225248798356
2024-10-21 09:06:38,6,265,0.018867924528301886,1.8867924528301887,5.8067266727773106e-05
2024-10-21 09:06:38,7,273,0.018315018315018316,1.8315018315018317,0.0002391224525187493
2024-10-21 09:06:38,7,281,0.017793594306049824,1.7793594306049825,0.0001866905379779131
2024-10-21 09:06:38,8,284,0.017605633802816902,1.7605633802816902,0.00023230496605979958
2024-10-21 09:06:38,7,292,0.017123287671232876,1.7123287671232876,0.00021592047069723757
2024-10-21 09:06:38,8,299,0.016722408026755852,1.6722408026755853,0.00011225112472622045
2024-10-21 09:06:38,5,304,0.01644736842105263,1.644736842105263,0.000167345885833006
2024-10-21 09:06:38,6,311,0.01607717041800643,1.607717041800643,0.00028151986064473694
2024-10-21 09:06:38,8,321,0.01557632398753894,1.557632398753894,4.898429213132894e-05
2024-10-21 09:06:38,7,330,0.01818181818181818,1.8181818181818181,6.871966788137637e-05
2024-10-21 09:06:38,6,340,0.01764705882352941,1.7647058823529411,0.00014157482745772774
