Interval,Start_Index,End_Index,Records_in_Interval,Avg_Total_Requests,Avg_Attack_Interests,Avg_Dropped_Packets,Avg_NACK_Sent,Probability_Total_Requests,Probability_Attack_Interests,Probability_Dropped_Packets,Probability_NACK_Sent,Hellinger_Distance,Classification,Threshold
1,0,9,10,45.4,39.9,5.9,3.4,0.4799154334028333,0.42177589851935826,0.06236786469423946,0.03594080338356896,0.5542823077448034,IFA_Attack,0.25
2,10,19,10,46.9,40.8,5.3,3.2,0.4875259875249999,0.42411642411570016,0.05509355509436552,0.033264033264934455,0.5493248366913935,IFA_Attack,0.25
3,20,29,10,44.7,40.1,4.9,4.2,0.47603833865718403,0.4270500532473821,0.052183173589767054,0.044728434505666756,0.5568058901193071,IFA_Attack,0.25
4,30,39,10,44.1,40.2,5.3,3.2,0.4752155172404085,0.43318965517162417,0.05711206896634864,0.034482758621618606,0.5573414196565818,IFA_Attack,0.25
5,40,49,10,47.9,43.8,5.8,4.0,0.4719211822651353,0.43152709359534375,0.05714285714361717,0.03940886699590381,0.5594845011144919,IFA_Attack,0.25
6,50,50,1,54.0,51.0,7.0,6.0,0.457627118643364,0.4322033898298908,0.059322033898951444,0.05084745762779373,0.5687761696523495,IFA_Attack,0.25
