Iteration,Latency,Dropped_Packets,NACK_Sent
1,0.23795275274592007,0,0
2,0.39825489893008403,0,0
3,0.252804949700915,0,0
4,0.510057514968427,0,0
5,0.48827828401690987,0,0
6,0.30823457147981154,0,0
7,0.7835972198427499,0,0
8,0.7939310011386107,0,0
9,0.6610822569400512,0,0
10,0.6452602881712014,0,0
11,0.4372905966340782,0,0
12,0.48961348419632683,0,0
13,1.2654918726627724,0,0
14,0.8835166725790867,0,0
15,0.5566536580770565,0,0
16,0.9365073010737509,0,0
17,1.3234057106286807,0,0
18,1.0751029766128224,0,0
19,1.0245095680279215,0,0
20,1.5108971282408876,0,0
21,0.5851734119982106,0,0
22,0.8397151348430766,0,0
23,0.8647650877189748,0,0
24,0.6667618691666177,0,0
25,1.2979126615599565,0,0
26,1.5119150155827865,0,0
27,1.1043689674581838,0,0
28,1.4080411693992254,0,0
29,1.7351294763491356,0,0
30,1.151989389560464,0,0
31,0.7425438429384446,0,0
32,1.6342751086850766,0,0
33,1.6204922906437798,0,0
34,0.8735115788130072,0,0
35,2.010523845991749,0,0
36,0.7512748774304028,0,0
37,2.120252296260095,0,0
38,1.0251460778150712,0,0
39,0.8158428551899441,0,0
40,1.7431449221609094,0,0
41,1.5031889091348802,0,0
42,1.2786920031283064,0,0
43,2.2434077590031545,0,0
44,1.0227217150292711,0,0
45,1.3671227953151959,0,0
46,1.9148250095822543,0,0
47,1.260346624596897,0,0
48,1.2484138288327715,0,0
49,2.182436769679895,0,0
50,1.0801094525036818,0,0
51,1.4281588632827502,0,0
52,1.33764050086073,0,0
53,1.043668376910349,0,0
54,1.5541798449373323,0,0
55,2.2233822515669774,0,0
56,1.412217807414292,0,0
57,1.7496487565279453,0,0
58,2.183402898969524,0,0
59,1.8232038367849712,0,0
60,1.6949496752618867,0,0
61,2.0221297411833814,0,0
62,1.2977422429547218,0,0
63,2.0917352945450665,0,0
64,2.3760660156685307,0,0
65,1.9717841414429975,0,0
66,2.1601907619897727,0,0
67,2.530423915876204,0,0
68,2.4509075698602145,0,0
69,2.2874507229675984,0,0
70,1.748834264672672,0,0
71,1.7018630091910405,0,0
72,2.722261877057271,0,0
73,2.2378880067847438,0,0
74,1.8330119506900746,0,0
75,1.4824817708122564,0,0
76,1.3707866787951346,0,0
77,2.7087294120845167,0,0
78,2.105365310040886,0,0
79,1.8145202719252949,0,0
80,1.3790994279412947,0,0
81,1.4372058970440877,0,0
82,2.475712097344214,0,0
83,1.8530317733359258,0,0
84,2.2126010445189004,0,0
85,1.944238930712337,0,0
86,2.304741835918751,0,0
87,2.1903147769296436,0,0
88,1.1824639723662889,0,0
89,1.5259508474750703,0,0
90,2.170377603532782,0,0
91,1.74705634829544,0,0
92,2.46626979116195,0,0
93,1.2235800740279499,0,0
94,1.4053465063779047,0,0
95,2.0669953689050278,0,0
96,2.8321314590289006,0,0
97,1.5083490895142995,0,0
98,2.7386455997660706,0,0
99,1.0446588527164367,0,0
100,1.7084212553494647,0,0
